mode,date,tap,time,count
bus,20160731,off,02:00,127
bus,20160731,off,13:45,7321
bus,20160731,off,17:00,7239
bus,20160731,off,09:30,5141
bus,20160731,off,22:30,1518
bus,20160731,off,04:15,151
bus,20160731,off,03:30,115
bus,20160731,off,10:00,5423
bus,20160731,off,18:30,5370
bus,20160731,off,20:45,1917
bus,20160731,off,07:45,1728
bus,20160731,off,06:00,298
bus,20160731,off,05:45,253
bus,20160731,off,08:15,2299
bus,20160731,off,11:00,5974
bus,20160731,off,02:15,144
bus,20160731,off,22:00,1527
bus,20160731,off,17:15,7290
bus,20160731,off,10:30,6013
bus,20160731,off,15:30,7485
bus,20160731,off,14:45,7287
bus,20160731,off,00:30,242
bus,20160731,off,19:30,3093
bus,20160731,off,06:15,433
bus,20160731,off,01:45,133
bus,20160731,off,16:45,7568
bus,20160731,off,11:15,6237
bus,20160731,off,09:15,4763
bus,20160731,off,22:15,1496
bus,20160731,off,21:45,1560
bus,20160730,on,02:30,640
bus,20160730,on,13:30,8436
bus,20160730,on,15:15,9104
bus,20160730,on,12:45,8955
bus,20160730,on,00:00,1171
bus,20160730,on,16:30,8780
bus,20160730,on,04:45,224
bus,20160730,on,03:45,220
bus,20160730,on,19:45,3346
bus,20160730,on,01:30,684
bus,20160730,on,07:15,2693
bus,20160730,on,09:00,6266
bus,20160730,on,18:45,5546
bus,20160730,on,11:30,9061
bus,20160730,on,20:15,2855
bus,20160730,on,00:15,1005
bus,20160730,on,13:00,9085
bus,20160730,on,02:45,393
bus,20160730,on,23:30,1484
bus,20160730,on,17:45,7614
bus,20160730,on,10:45,8323
bus,20160730,on,05:15,383
bus,20160730,on,20:00,3047
bus,20160730,on,12:30,8869
bus,20160730,on,07:00,2199
bus,20160730,on,14:15,8966
bus,20160730,on,08:45,5614
bus,20160730,on,23:45,1169
bus,20160730,on,-1,294
bus,20160730,on,13:15,9071
bus,20160730,on,11:45,8690
bus,20160730,on,22:45,2015
bus,20160730,on,05:00,308
bus,20160730,on,16:15,9251
bus,20160730,on,01:15,519
bus,20160730,on,14:00,9094
bus,20160730,on,21:15,2477
bus,20160730,on,07:30,3498
bus,20160730,on,06:30,1600
bus,20160730,on,01:00,650
bus,20160730,on,15:00,8568
bus,20160730,on,16:00,9220
bus,20160730,on,23:15,1643
bus,20160730,on,12:15,9216
bus,20160730,on,21:00,2495
bus,20160730,on,04:30,192
bus,20160730,on,05:30,703
bus,20160730,on,03:15,392
bus,20160730,on,14:30,8858
bus,20160730,on,18:15,6994
bus,20160730,on,06:45,1800
bus,20160730,on,19:00,4765
bus,20160730,on,12:00,8685
bus,20160730,on,09:45,7250
bus,20160730,on,23:00,1776
bus,20160730,on,00:45,658
bus,20160730,on,04:00,184
bus,20160730,on,17:30,8240
bus,20160730,on,10:15,8081
bus,20160730,on,08:30,5676
bus,20160730,on,03:00,521
bus,20160730,on,21:30,2284
bus,20160730,on,15:45,8669
bus,20160730,on,18:00,7654
bus,20160730,on,20:30,2588
bus,20160730,on,19:15,4511
bus,20160730,on,08:00,4714
bus,20160730,on,02:00,599
bus,20160730,on,13:45,8507
bus,20160730,on,17:00,8939
bus,20160730,on,09:30,7251
bus,20160730,on,22:30,2236
bus,20160730,on,04:15,51
bus,20160730,on,03:30,384
bus,20160730,on,10:00,7621
bus,20160730,on,18:30,6016
bus,20160730,on,20:45,2578
bus,20160730,on,07:45,3785
bus,20160730,on,06:00,1146
bus,20160730,on,05:45,671
bus,20160730,on,08:15,5339
bus,20160730,on,11:00,8789
bus,20160730,on,02:15,549
bus,20160730,on,22:00,2348
bus,20160730,on,17:15,9109
bus,20160730,on,10:30,8222
bus,20160730,on,15:30,8831
bus,20160730,on,14:45,8681
bus,20160730,on,00:30,791
bus,20160730,on,19:30,3691
bus,20160730,on,06:15,1441
bus,20160730,on,01:45,526
bus,20160730,on,16:45,8742
bus,20160730,on,11:15,8688
bus,20160730,on,09:15,6851
bus,20160730,on,22:15,2274
bus,20160730,on,21:45,2440
bus,20160730,off,02:30,517
bus,20160730,off,13:30,8775
bus,20160730,off,15:15,8490
bus,20160730,off,12:45,8450
bus,20160730,off,00:00,1081
bus,20160730,off,16:30,8845
bus,20160730,off,04:45,196
bus,20160730,off,03:45,337
bus,20160730,off,19:45,3849
bus,20160730,off,01:30,472
bus,20160730,off,07:15,2060
bus,20160730,off,09:00,5301
bus,20160730,off,18:45,6146
bus,20160730,off,11:30,8524
bus,20160730,off,20:15,2971
bus,20160730,off,00:15,1084
bus,20160730,off,13:00,8426
bus,20160730,off,02:45,517
bus,20160730,off,23:30,1561
bus,20160730,off,17:45,8360
